cik,cusip6,cusip8
1213233.0,284902,28490210
911626.0,903849,90384910
66756.0,018522,01852210
814453.0,651229,65122910
18172.0,148411,14841110
750813.0,816074,81607430
890564.0,682159,68215910
910057.0,294273,29427310
1034072.0,24783R,24783R10
882835.0,776696,77669610
1062478.0,00508B,00508B10
753568.0,300645,30064510
1116521.0,053499,05349910
850209.0,344849,34484910
84792.0,775371,77537110
859163.0,002444,00244410
813775.0,303072,30307210
745287.0,45881K,45881K10
701319.0,204925,20492510
927066.0,38388F,38388F10
1094348.0,290151,29015130
1013237.0,303075,30307510
798955.0,221485,22148510
1089473.0,922793,92279310
1035632.0,000788,00078810
704532.0,630077,63007710
888747.0,G8915Z,G8915Z10
1051470.0,228227,22822710
66901.0,29364N,29364N86
914027.0,744284,74428410
929428.0,67622M,67622M10
95304.0,86764P,86764P10
891098.0,858907,85890710
21535.0,192576,19257610
911421.0,G6851T,G6851T10
891035.0,206013,20601310
820237.0,36866T,36866T10
833081.0,74153Q,74153Q10
66960.0,03840J,03840J10
1060990.0,74838C,74838C10
804753.0,156782,15678210
1046257.0,219023,21902310
842023.0,878377,87837710
790202.0,320228,32022810
911177.0,174774,17477410
1028461.0,22281W,22281W10
1015577.0,12613R,12613R10
912393.0,161726,16172610
869087.0,577914,57791410
1131806.0,200693,20069320
913277.0,182707,18270710
1017673.0,260174,26017410
1177827.0,843901,84390110
15615.0,576323,57632310
928421.0,577223,57722310
20520.0,17453B,17453B10
1029688.0,458860,45886010
1102112.0,31983B,31983B10
1027702.0,26881Q,26881Q10
770975.0,336158,33615810
95585.0,70322A,70322A10
1135152.0,30249U,30249U10
97210.0,880770,88077010
1067294.0,12489V,12489V10
945123.0,18002R,18002R10
706688.0,002535,00253530
32166.0,285218,28521810
860749.0,052116,05211610
1064863.0,03073T,03073T10
714278.0,456905,45690510
859014.0,205638,20563810
790816.0,105368,10536820
824803.0,03760A,03760A10
1022225.0,68375Q,68375Q10
723125.0,595112,59511210
1051431.0,44043J,44043J10
916459.0,365558,36555810
1107194.0,152319,15231910
1070154.0,743835,74383510
706688.0,002535,00253520
39135.0,358497,35849710
1085776.0,530129,53012910
1168054.0,171798,17179810
1094360.0,76128Q,76128Q10
776867.0,G9618E,G9618E10
38067.0,345550,34555010
351721.0,00757T,00757T10
1001193.0,89376R,89376R10
870228.0,87159E,87159E30
1056294.0,109704,10970410
354562.0,201607,20160710
1086844.0,009367,00936710
930738.0,95988E,95988E20
840824.0,64110P,64110P10
785786.0,729132,72913210
1162556.0,260095,26009510
939930.0,254394,25439410
1141107.0,04269Q,04269Q10
930420.0,493732,49373210
845434.0,45665B,45665B10
225648.0,236274,23627410
852952.0,961238,96123810
50104.0,881609,88160910
813298.0,148711,14871110
45919.0,416196,41619610
1014473.0,92343E,92343E10
912263.0,874161,87416110
934747.0,203004,20300410
320186.0,397888,39788810
55135.0,488152,48815220
904979.0,824543,82454310
1007330.0,69357C,69357C10
920522.0,297178,29717810
65011.0,589433,58943320
1050825.0,858155,85815520
764244.0,461142,46114210
60519.0,546347,54634710
790730.0,030710,03071010
1106773.0,32051K,32051K10
1049108.0,256743,25674310
897077.0,011311,01131110
216085.0,419596,41959610
1095565.0,42222N,42222N10
932691.0,98467a,98467a
912728.0,349853,34985310
874865.0,217753,21775310
316300.0,269279,26927930
801622.0,007585,00758510
805419.0,830137,83013710
1065246.0,428358,42835810
3327.0,013068,01306820
1089613.0,26881V,26881V10
1027532.0,03071D,03071D10
1158463.0,477143,47714310
1016125.0,90385D,90385D10
804888.0,004325,00432520
14637.0,055961,05596130
923877.0,704231,70423110
812076.0,890786,89078610
768262.0,871130,87113010
892450.0,48268K,48268K10
30140.0,261876,26187610
1137154.0,484173,48417310
803027.0,588539,58853910
874689.0,45811K,45811K20
1092006.0,161048,16104810
1060009.0,494580,49458010
357020.0,502392,50239210
719271.0,89365P,89365P10
1142701.0,911268,91126810
741815.0,439104,43910410
30302.0,264142,26414210
883983.0,286267,28626710
1124827.0,G87210,G8721010
910079.0,076446,07644630
750901.0,337719,33771910
315293.0,037389,03738910
1022536.0,98470a,98470a
922621.0,98468a,98468a
851478.0,05538E,05538E10
1130194.0,228090,22809010
1136294.0,37941P,37941P10
31660.0,268255,26825510
5981.0,030371,03037110
948844.0,893885,89388510
908440.0,565011,56501110
72741.0,664397,66439710
